mace	nutmeg
beryl	beryllium
tree	sapwood
rope	hemp
beam	wood
air	xenon
mucus	mucin
compress	fomentation
mustard	isothiocyanate
manhattan	whiskey
rope	jute
mead	hydromel
pastry	flour
snowflake	water
ice	water
glassware	glass
vitriol	sulfur
rape	rapeseed
basalt	pyroxene
joint	cannabis
crust	sial
wood	lignin
rope	sisal
paprika	pimento
tear	water
limestone	calcite
palmyra	bassine
quicksand	sand
cartilage	collagen
serum	opsonin
tobacco	nicotine
gypsum	calcium
sidewalk	pavement
ointment	lanolin
air	nitrogen
blood	serum
granite	silicon
ozone	oxygen
horn	keratin
steel	pearlite
glacier	ice
galena	lead
lumber	wood
fiber	cellulose
sequoia	redwood
clay	silicon
snow	snowflake
petroleum	carbon
organism	tissue
seawater	sodium
suture	catgut
telluride	tellurium
paper	cellulose
onion	isothiocyanate
borax	boron
dough	flour
grape	wine
street	pavement
air	neon
pad	straw
sewage	effluent
quartz	silica
citron	citronwood
