pair_ID	entailment_judgment	label	prediction	prediction_scores	target_scores
6	NEUTRAL	0	0	3.3	3.3450677
7	NEUTRAL	0	0	3.7	3.4405046
8	NEUTRAL	0	0	3.0	3.413593
10	ENTAILMENT	1	0	4.9	3.594539
11	NEUTRAL	0	0	3.665	3.59149
13	CONTRADICTION	2	0	3.3	3.1323574
15	NEUTRAL	0	0	2.7	3.7580206
16	NEUTRAL	0	0	2.9	2.9606457
17	NEUTRAL	0	0	2.3	2.9741278
19	ENTAILMENT	1	0	4.9	3.6847022
20	CONTRADICTION	2	0	3.6	3.506691
21	NEUTRAL	0	0	3.0	3.6741788
22	ENTAILMENT	1	0	4.3	3.509112
23	CONTRADICTION	2	0	4.1	3.4617329
27	NEUTRAL	0	0	3.2	3.606674
29	NEUTRAL	0	0	3.3	3.6160512
31	CONTRADICTION	2	0	4.0	3.5743294
32	ENTAILMENT	1	0	4.2	3.7431154
33	ENTAILMENT	1	0	4.7	3.6207972
34	CONTRADICTION	2	0	3.9	3.913587
36	NEUTRAL	0	0	3.5	3.700315
37	NEUTRAL	0	0	4.0	3.7851284
38	CONTRADICTION	2	0	3.5	3.5691366
39	NEUTRAL	0	0	3.6	3.8648348
41	ENTAILMENT	1	0	4.4	3.060406
43	NEUTRAL	0	0	4.0	3.2039528
46	NEUTRAL	0	2	3.9	3.0724177
48	NEUTRAL	0	0	3.7	3.240626
50	NEUTRAL	0	2	3.6	3.204026
51	NEUTRAL	0	0	3.9	3.0588186
52	ENTAILMENT	1	0	4.9	3.7569683
53	NEUTRAL	0	0	4.0	3.6694152
54	NEUTRAL	0	0	3.9	3.6673155
57	NEUTRAL	0	0	4.1	3.5994241
59	NEUTRAL	0	0	3.9	3.7553997
60	NEUTRAL	0	0	3.1	3.776441
61	NEUTRAL	0	0	3.9	3.5431387
63	ENTAILMENT	1	0	4.4	3.3978386
64	CONTRADICTION	2	0	3.8	3.3894656
66	ENTAILMENT	1	0	4.8	3.3925006
67	CONTRADICTION	2	0	4.1	3.474544
68	NEUTRAL	0	0	4.6	3.4002411
69	CONTRADICTION	2	0	3.6	3.393451
71	NEUTRAL	0	0	3.3	3.6922853
74	ENTAILMENT	1	0	4.7	3.7463543
75	NEUTRAL	0	0	3.8	3.7615032
76	NEUTRAL	0	0	2.9	3.6651328
80	NEUTRAL	0	0	1.3	3.8991709
86	NEUTRAL	0	0	2.6	3.6202524
89	ENTAILMENT	1	0	4.8	3.402651
92	NEUTRAL	0	0	1.6	3.487636
95	NEUTRAL	0	0	1.6	3.3870072
96	NEUTRAL	0	0	1.2	3.4323258
101	NEUTRAL	0	0	4.0	3.566546
102	NEUTRAL	0	0	3.7	3.693184
103	NEUTRAL	0	0	3.7	3.682298
104	ENTAILMENT	1	0	4.3	3.685679
106	NEUTRAL	0	0	4.1	3.655897
108	NEUTRAL	0	0	3.5	3.5912352
109	ENTAILMENT	1	0	4.7	3.0105348
110	NEUTRAL	0	0	3.9	3.2607105
111	ENTAILMENT	1	2	4.8	3.3504624
114	NEUTRAL	0	0	3.0	3.570244
115	NEUTRAL	0	0	2.7	3.346934
118	ENTAILMENT	1	0	4.8	3.5765936
121	ENTAILMENT	1	0	4.8	3.6058147
123	NEUTRAL	0	0	2.8	3.4829648
125	NEUTRAL	0	0	3.0	3.4958403
128	NEUTRAL	0	0	2.3	3.4502544
132	CONTRADICTION	2	0	3.3	3.726565
134	NEUTRAL	0	0	4.0	3.7118053
135	NEUTRAL	0	0	2.7	3.4398243
137	NEUTRAL	0	0	2.8	3.8274658
138	NEUTRAL	0	0	1.4	3.6488369
142	ENTAILMENT	1	0	4.9	3.8912964
143	CONTRADICTION	2	0	3.4	3.6412375
144	NEUTRAL	0	0	2.9	3.5403924
145	NEUTRAL	0	0	2.2	3.7809606
147	NEUTRAL	0	0	2.8	3.5037742
149	ENTAILMENT	1	0	4.535	3.609002
151	ENTAILMENT	1	0	4.8	3.5766962
152	CONTRADICTION	2	0	4.1	3.379375
153	ENTAILMENT	1	0	4.5	3.5823436
154	CONTRADICTION	2	0	2.685	3.4560301
155	NEUTRAL	0	0	4.2	3.5849674
156	CONTRADICTION	2	0	3.55	3.5905538
157	ENTAILMENT	1	0	4.9	3.6386154
158	ENTAILMENT	1	0	4.7	3.8878021
160	ENTAILMENT	1	0	4.7	3.5424788
162	ENTAILMENT	1	0	3.8	3.5566514
165	NEUTRAL	0	0	3.4	3.6002207
166	NEUTRAL	0	0	3.7	3.8796377
167	ENTAILMENT	1	0	4.4	3.378798
168	CONTRADICTION	2	0	3.8	3.7120297
169	ENTAILMENT	1	0	4.6	3.81457
171	NEUTRAL	0	0	3.7	3.6326287
172	ENTAILMENT	1	0	3.7	3.7823706
174	NEUTRAL	0	0	3.7	3.6256866
175	ENTAILMENT	1	0	4.2	3.8091822
177	ENTAILMENT	1	0	4.1	3.8081107
178	ENTAILMENT	1	0	4.8	3.6141672
179	NEUTRAL	0	0	3.4	3.6184318
180	NEUTRAL	0	0	3.5	3.675592
181	ENTAILMENT	1	0	4.6	3.7380445
182	NEUTRAL	0	0	3.2	3.7106285
187	NEUTRAL	0	0	3.0	3.6303713
189	NEUTRAL	0	0	3.3	3.5996492
190	NEUTRAL	0	0	3.3	3.6513205
191	ENTAILMENT	1	0	4.1	3.66639
193	ENTAILMENT	1	0	4.6	3.6870754
195	NEUTRAL	0	0	3.6	3.5022478
196	CONTRADICTION	2	0	3.6	3.593452
198	CONTRADICTION	2	0	3.6	3.5182714
199	NEUTRAL	0	0	3.7	3.4776673
203	NEUTRAL	0	0	3.7	3.610082
204	ENTAILMENT	1	0	4.0	3.5817165
206	NEUTRAL	0	0	3.8	3.5208523
207	CONTRADICTION	2	0	3.3	3.4655175
208	ENTAILMENT	1	0	4.5	3.5204163
209	ENTAILMENT	1	0	4.2	3.8211856
210	CONTRADICTION	2	0	3.3	3.5780802
212	NEUTRAL	0	0	3.565	3.0414495
213	NEUTRAL	0	0	2.8	3.832798
214	NEUTRAL	0	0	2.6	3.6724179
220	NEUTRAL	0	0	4.4	3.7192922
221	NEUTRAL	0	0	3.9	3.7803123
222	ENTAILMENT	1	0	3.9	3.8657405
229	ENTAILMENT	1	0	4.5	3.679533
230	CONTRADICTION	2	0	3.1	3.6409903
231	ENTAILMENT	1	0	4.5	3.7356586
235	NEUTRAL	0	0	2.7	3.686132
239	NEUTRAL	0	0	2.3	3.6324239
242	NEUTRAL	0	0	3.9	3.1348526
243	NEUTRAL	0	0	3.9	3.3478932
244	CONTRADICTION	2	0	3.9	3.5529208
245	NEUTRAL	0	0	3.7	3.4908721
246	NEUTRAL	0	0	2.3	3.0124996
247	CONTRADICTION	2	0	3.6	3.5135012
250	NEUTRAL	0	0	3.0	3.2330356
251	NEUTRAL	0	0	3.1	3.4688385
252	NEUTRAL	0	0	3.8	3.4723988
255	ENTAILMENT	1	0	4.2	3.5652351
261	NEUTRAL	0	0	3.2	3.6124
262	ENTAILMENT	1	0	4.7	3.5191908
263	NEUTRAL	0	0	4.1	3.5334258
264	NEUTRAL	0	0	2.8	3.585221
267	NEUTRAL	0	0	2.9	3.876937
268	NEUTRAL	0	0	2.5	3.842444
270	NEUTRAL	0	0	3.7	3.5332198
271	NEUTRAL	0	0	3.1	3.8877206
274	NEUTRAL	0	0	3.6	3.3439887
275	NEUTRAL	0	0	4.2	3.6803513
278	NEUTRAL	0	0	2.8	3.3391974
