price	worth
play	act
bull	cattle
fife	flute
spud	bore
catalan	romance
princess	aristocrat
choreograph	mastermind
fluctuate	move
levitation	phenomenon
jasmine	shrub
cover	compensate
railroad	transport
suspense	doubt
bestow	give
perfection	improvement
skate	sport
coach	trainer
hike	walk
curtain	blind
mainline	inject
progress	develop
piggyback	change
choreograph	make
system	method
vent	refresh
companion	traveler
binder	harvester
offer	project
suffice	satisfy
dominate	influence
channel	transmission
predictor	information
mistake	identify
toll	fee
maoist	advocate
score	fact
equality	status
aeronautics	physic
brand	firewood
vomit	expulsion
spit	utter
taro	root
change	replace
paraphrase	repeat
job	unfortunate
warn	order
galaxy	collection
dodge	falsehood
delete	remove
make	look
dismemberment	mutilation
match	contest
hear	probe
share	use
hibernate	sleep
cat	hitch
tack	sail
steamroller	vehicle
smoothie	beverage
bend	movement
quarter	coin
creditor	person
overrun	overshoot
economy	action
overall	work-clothing
bead	mold
bustle	framework
clutch	pedal
stern	rear
peppermint	mint
decompression	ease
laziness	rest
sum	collection
sensitivity	feel
mole	insectivore
ottoman	turk
hani	loloish
friend	person
discouragement	deterrence
supremacist	advocate
pepper	attack
pit	trap
screamer	waterfowl
subscribe	offer
raffle	lottery
mismanagement	management
hoard	store
leer	look
digest	permit
recall	concentrate
beat	sail
rib	cut
mission	work
warn	rede
armistice	peace
tip	give
output	product
rapporteur	registrar
priority	earliness
apology	defense
inject	insert
decapitate	kill
fiefdom	organization
taro	arum
trophy	award
translate	determine
deal	board
distaff	sphere
prion	particle
site	tract
separate	move
anti	person
crate	containerful
survivalist	person
strife	conflict
craft	fashion
scrape	make
crash	fail
belle	girl
screw	tighten
harmonize	relate
modify	add
cotton	thread
snapshot	photograph
interest	power
sink	descent
crowd	situation
key	list
develop	change
crimp	lock
fall	cut
pound	symbol
kino	tree
divert	send
tracer	detective
intention	goal
roulette	curve
rehabilitate	restore
teapot	pot
intercept	point
hover	hesitate
proof	knead
mar	damage
cock	penis
sheet	line
steam	rise
bond	security
signal	incitement
ultimatum	demand
nominate	choose
guesthouse	house
frown	grimace
stick	margarine
predicament	difficulty
copyright	document
adoption	bless
frame	plan
tier	rope
pellet	ball
indemnity	protection
mercy	relief
overreact	react
reef	low
diffuse	spread
fortieth	rank
mandate	commission
hail	precipitation
dissipate	live
cock	cant
villainy	evil
shield	armor
slider	fastball
slot	trail
maker	creator
riser	person
make	assemble
wing	organ
retrieve	bring
rose	pink
balk	area
irrationality	insanity
library	build
interlude	perform
language	faculty
mantle	symbol
state	express
mistake	nonaccomplishment
ticket	summon
strongman	dictator
ridicule	disrespect
snort	exhale
mark	bespeak
interfere	impede
hog	swine
box	encase
conserve	keep
cancel	declare
inventiveness	creativity
rat	hire
snuff	tobacco
bowl	wheel
camouflage	disguise
mediation	negotiation
peacock	peafowl
direction	path
clear	empty
incarnate	realize
sit	session
scale	order
oppression	persecution
criminal	principal
repair	improvement
yakuza	gangster
decontamination	removal
clock	timepiece
limb	arc
lodge	house
drugstore	shop
conservation	preservation
underscore	stress
deflection	aberrance
argyle	design
domain	set
swathe	bandage
raise	increase
fault	responsibility
point	be
glimpse	indication
ammonium	ammonia
cold	temperature
inhibitor	substance
property	attribute
former	first
favor	see
access	reach
comfort	aid
wield	manipulate
dock	herb
mushroom	vegetable
blow	shape
infomercial	commercial
capability	aptitude
audience	gather
bottom	supply
yana	hokan
suffocate	become
hamper	basket
phase	point
hone	whetstone
pretend	claim
blacksmith	smith
meniscus	surface
transshipment	transportation
polish	perfection
yoga	exercise
implode	collapse
machinery	system
rap	perform
crosstalk	noise
match	supply
hedge	minimize
rerun	air
movement	action
die	ache
cutthroat	murderer
scabies	infection
puncture	mishap
heavyweight	boxer
aspen	poplar
typecast	cast
rescue	recovery
exaggeration	misrepresentation
potash	hydroxide
strand	form
bookmaker	gambler
benediction	prayer
excursion	journey
fit	test
yogurt	food
bud	flower
mount	attach
practice	cognition
patron	owner
apathy	feel
kashmiri	dard
network	communicate
gel	change
reinstatement	restoration
vowel	letter
nomination	condition
presuppose	imply
remainder	sell
turnpike	expressway
grotesque	art
salvage	commodity
tile	application
distribution	commerce
point	repair
space	put
stool	seat
chinese	sinitic
wed	party
pour	supply
lymphoma	cancer
reverence	attitude
limp	walk
word	statement
yoke	join
publicist	communicator
disturb	affect
reminder	experience
excess	overabundance
humorist	entertainer
pouch	sac
ass	fool
include	see
tread	squash
madras	fabric
bacteria	microorganism
receive	change
legend	story
solicitation	entreaty
blunt	weaken
attrition	sorrow
intensity	degree
faction	clique
comedian	actor
lime	citrus
imitate	copy
salt	spice
flexibility	malleability
gallbladder	bladder
central	workplace
rig	gear
affinity	resemblance
crab	steer
bid	invitation
joke	act
hull	remove
anasazi	indian
sensation	stir
abduct	pull
consummation	completion
batten	strengthen
annulment	dissolution
daily	newspaper
prank	decorate
runner	traveler
picket	fasten
two	digit
mobilize	move
masai	nilotic
breadbasket	region
mean	instrumentality
enhancement	improvement
thump	sound
crunch	press
retreat	travel
raft	travel
quota	allotment
pit	confront
virus	microorganism
negativity	polarity
pepper	zest
usurpation	capture
shroud	line
stagger	walk
melatonin	hormone
measure	evaluate
rosebud	bud
bellow	cry
horn	alarm
stubbornness	intractability
tree	chase
spell	speech
settler	migrant
stuff	concoction
forge	workplace
occupier	serviceman
leg	support
float	artifact
disparage	knock
carry	include
style	write
ripen	change
stabile	sculpture
game	activity
brush	implement
capital	center
